REGION,AMBITO_INEI,SEXO
AREQUIPA,RURAL,FEMENINO
JUNÍN,RURAL,FEMENINO
CUSCO,RURAL,MASCULINO
ÁNCASH,RURAL,MASCULINO
CAJAMARCA,URBANA,FEMENINO
HUÁNUCO,URBANA,MASCULINO
AYACUCHO,RURAL,MASCULINO
HUANCAVELICA,RURAL,FEMENINO
LORETO,RURAL,FEMENINO
SAN MARTÍN,URBANA,FEMENINO
MADRE DE DIOS,RURAL,FEMENINO
JUNÍN,RURAL,FEMENINO
LIMA METROPOLITANA,URBANA,FEMENINO
SAN MARTÍN,RURAL,FEMENINO
LIMA PROVINCIAS,URBANA,FEMENINO
HUANCAVELICA,RURAL,FEMENINO
JUNÍN,RURAL,MASCULINO
LIMA METROPOLITANA,URBANA,FEMENINO
CUSCO,RURAL,FEMENINO
CAJAMARCA,RURAL,MASCULINO
CAJAMARCA,RURAL,MASCULINO
CUSCO,RURAL,FEMENINO
AMAZONAS,RURAL,MASCULINO
SAN MARTÍN,RURAL,FEMENINO
CAJAMARCA,RURAL,FEMENINO
JUNÍN,RURAL,MASCULINO
AYACUCHO,RURAL,MASCULINO
LIMA METROPOLITANA,URBANA,MASCULINO
CAJAMARCA,RURAL,MASCULINO
LIMA METROPOLITANA,URBANA,FEMENINO
TACNA,URBANA,MASCULINO
CAJAMARCA,RURAL,MASCULINO
HUANCAVELICA,RURAL,MASCULINO
PUNO,RURAL,MASCULINO
LIMA METROPOLITANA,URBANA,MASCULINO
JUNÍN,URBANA,MASCULINO
CUSCO,URBANA,MASCULINO
LA LIBERTAD,URBANA,FEMENINO
CUSCO,RURAL,MASCULINO
LIMA METROPOLITANA,URBANA,FEMENINO
JUNÍN,URBANA,MASCULINO
LIMA METROPOLITANA,URBANA,MASCULINO
LA LIBERTAD,RURAL,MASCULINO
LIMA PROVINCIAS,URBANA,FEMENINO
PIURA,RURAL,MASCULINO
LORETO,URBANA,FEMENINO
TACNA,URBANA,MASCULINO
LIMA PROVINCIAS,URBANA,MASCULINO
PIURA,URBANA,MASCULINO
LIMA PROVINCIAS,URBANA,FEMENINO
LIMA PROVINCIAS,URBANA,MASCULINO
CAJAMARCA,RURAL,MASCULINO
LIMA METROPOLITANA,URBANA,FEMENINO
PUNO,RURAL,MASCULINO
HUANCAVELICA,RURAL,MASCULINO
CUSCO,RURAL,MASCULINO
CAJAMARCA,RURAL,FEMENINO
LIMA METROPOLITANA,URBANA,MASCULINO
JUNÍN,RURAL,MASCULINO
AREQUIPA,RURAL,FEMENINO
SAN MARTÍN,URBANA,MASCULINO
AMAZONAS,RURAL,FEMENINO
JUNÍN,RURAL,FEMENINO
ÁNCASH,RURAL,FEMENINO
LIMA METROPOLITANA,URBANA,MASCULINO
LAMBAYEQUE,URBANA,FEMENINO
APURÍMAC,URBANA,MASCULINO
LIMA METROPOLITANA,URBANA,FEMENINO
AMAZONAS,URBANA,FEMENINO
CAJAMARCA,RURAL,FEMENINO
LA LIBERTAD,URBANA,MASCULINO
MOQUEGUA,URBANA,FEMENINO
PUNO,RURAL,FEMENINO
LORETO,RURAL,FEMENINO
LIMA PROVINCIAS,URBANA,MASCULINO
AREQUIPA,RURAL,MASCULINO
JUNÍN,URBANA,MASCULINO
PIURA,RURAL,MASCULINO
CAJAMARCA,URBANA,FEMENINO
LA LIBERTAD,URBANA,MASCULINO
ÁNCASH,RURAL,FEMENINO
LORETO,RURAL,FEMENINO
LIMA METROPOLITANA,URBANA,FEMENINO
LIMA METROPOLITANA,URBANA,FEMENINO
UCAYALI,RURAL,FEMENINO
PIURA,URBANA,FEMENINO
PUNO,RURAL,FEMENINO
