"REGION","AMBITO_INEI","SEXO","","lat","lon","",""
"CUSCO","URBANA","FEMENINO","","-13.5319","-71.9675","",""
"LIMA METROPOLITANA","URBANA","FEMENINO","","-12.0464","-77.0428","",""
"JUNÍN","RURAL","MASCULINO","","-11.9237","-75.8577","",""
"AYACUCHO","RURAL","MASCULINO","","-13.1586","-74.2239","",""
"LIMA PROVINCIAS","RURAL","FEMENINO","","-11.947","-76.5254","",""
"LA LIBERTAD","RURAL","FEMENINO","","-7.9139","-78.3665","",""
"UCAYALI","URBANA","FEMENINO","","-9.5368","-73.5751","",""
"LIMA METROPOLITANA","URBANA","FEMENINO","","-12.0464","-77.0428","",""
"LIMA METROPOLITANA","URBANA","MASCULINO","","-12.0464","-77.0428","",""
"JUNÍN","RURAL","MASCULINO","","-11.9237","-75.8577","",""
"LAMBAYEQUE","URBANA","MASCULINO","","-6.4306","-79.8431","",""
"TACNA","URBANA","MASCULINO","","-6.5122","-76.3397","",""
"JUNÍN","RURAL","FEMENINO","","-11.9237","-75.8577","",""
"AREQUIPA","URBANA","MASCULINO","","-16.409","-71.5375","",""
"CAJAMARCA","RURAL","MASCULINO","","-7.1602","-78.5059","",""
"TUMBES","RURAL","MASCULINO","","-3.5669","-80.4511","",""
"LA LIBERTAD","RURAL","MASCULINO","","-7.9139","-78.3665","",""
"CAJAMARCA","RURAL","MASCULINO","","-7.1602","-78.5059","",""
"CUSCO","RURAL","MASCULINO","","-13.5319","-71.9675","",""
"PIURA","RURAL","FEMENINO","","-5.1945","-80.6328","",""
"PUNO","URBANA","FEMENINO","","-15.8402","-70.0219","",""
"ÁNCASH","RURAL","MASCULINO","","-9.4075","-77.5217","",""
"SAN MARTÍN","URBANA","MASCULINO","","-6.5122","-76.3397","",""
"TACNA","URBANA","FEMENINO","","-6.5122","-76.3397","",""
"LIMA METROPOLITANA","URBANA","MASCULINO","","-12.0464","-77.0428","",""
"LIMA PROVINCIAS","URBANA","MASCULINO","","-11.947","-76.5254","",""
"PIURA","URBANA","FEMENINO","","-5.1945","-80.6328","",""
"LIMA METROPOLITANA","URBANA","FEMENINO","","-12.0464","-77.0428","",""
"LIMA PROVINCIAS","URBANA","MASCULINO","","-11.947","-76.5254","",""
"LIMA METROPOLITANA","URBANA","FEMENINO","","-12.0464","-77.0428","",""
"APURÍMAC","RURAL","FEMENINO","","-14.0277","-72.8284","",""
"CALLAO","URBANA","MASCULINO","","-12.0567","-77.1182","",""
"AYACUCHO","RURAL","FEMENINO","","-13.1586","-74.2239","",""
"PUNO","RURAL","MASCULINO","","-15.8402","-70.0219","",""
"MADRE DE DIOS","RURAL","FEMENINO","","-11.7669","-70.8119","",""
"CUSCO","RURAL","FEMENINO","","-13.5319","-71.9675","",""
"CAJAMARCA","RURAL","MASCULINO","","-7.1602","-78.5059","",""
"AYACUCHO","URBANA","FEMENINO","","-13.1586","-74.2239","",""
"APURÍMAC","RURAL","MASCULINO","","-14.0277","-72.8284","",""
"AREQUIPA","URBANA","FEMENINO","","-16.409","-71.5375","",""
"HUANCAVELICA","RURAL","MASCULINO","","-12.7875","-74.9739","",""
"APURÍMAC","RURAL","MASCULINO","","-14.0277","-72.8284","",""
"LORETO","URBANA","MASCULINO","","-3.7491","-73.2538","",""
"LIMA METROPOLITANA","URBANA","FEMENINO","","-12.0464","-77.0428","",""
"SAN MARTÍN","URBANA","MASCULINO","","-6.5122","-76.3397","",""
"JUNÍN","URBANA","FEMENINO","","-11.9237","-75.8577","",""
"CALLAO","URBANA","MASCULINO","","-12.0567","-77.1182","",""
"APURÍMAC","RURAL","FEMENINO","","-14.0277","-72.8284","",""
"PIURA","RURAL","MASCULINO","","-5.1945","-80.6328","",""
"HUÁNUCO","RURAL","MASCULINO","","-9.9306","-76.2422","",""
